Symbol,MeanLogReturn,StdLogReturn,MinLogReturn,MaxLogReturn
A,-0.0017235047160757144,0.01765749258627066,-0.056255772729165286,0.021369361296140015
AA,-0.004448995817696992,0.03151374383240065,-0.07464603325427141,0.06618901834479055
AAA,0.0002099395618050239,0.0009727765994528708,-0.0019892282909337185,0.0021948885626284884
AAALY,0.0,0.0,0.0,0.0
AAAU,-0.0005709578370436744,0.006106452982924886,-0.0110110876221292,0.009910921557212403
AABB,-0.008390930464942414,0.026894105969518245,-0.06419314537534454,0.0350913092240492
AABKF,,,,
AABVF,0.0,0.0,0.0,0.0
AACAF,-0.0063154702816821786,0.027528496738786965,-0.11999393535196139,0.0
AACAY,-0.008997780292877027,0.027625346126649176,-0.05739284248446178,0.038172628055106
AACG,0.005653697834851792,0.045813142353839646,-0.119959313046425,0.06967985446312618
AACS,0.0,0.0,0.0,0.0
AACT,0.00030190012195009235,0.0012562864447654893,-0.0028666750544756965,0.00382409295183407
AACT.U,,,,
AACT.WS,,,,
AACTF,-0.005267551433164065,0.06064739030247035,-0.14660350092840918,0.1053605363538842
AADI,-0.007432969561007171,0.03843677641702696,-0.05806380726740453,0.05526269178457542
AADR,0.000994954782970438,0.009843488818969428,-0.02265760865235116,0.013872413701168018
AAEEF,0.0,0.0,0.0,0.0
AAFRF,-0.002409212927077683,0.015493202230263145,-0.05001044853181241,0.024692588966579433
AAGC,-0.0061991075653042545,0.09619372643740724,-0.22314362407378502,0.22314362407378502
AAGFF,-0.012460485839711304,0.04464536423039001,-0.1389514826069473,0.04683129568163826
AAGH,-0.03093613916874007,0.21503177097027376,-0.43078287310833546,0.4054651081081644
AAGIY,-0.0027579074426636934,0.022460960834987796,-0.04122697299098883,0.04205400535870146
AAGR,0.0009483414781966794,0.06752417215266814,-0.10547161164114124,0.148053133118077
AAGRW,,,,
AAGRY,0.0,0.0,0.0,0.0
AAHIF,,,,
AAIGF,-0.0014456509755302652,0.02232908369372888,-0.040134828266853766,0.06544993816365897
AAIIQ,0.0,0.0,0.0,0.0
AAIRF,-0.003667363777646592,0.0437379012685858,-0.13396828933345292,0.08233629124631384
AAL,0.004104218701626943,0.04364499948841943,-0.09936225157111447,0.09772189566826077
AALBF,-0.006436389584269198,0.01789528779250513,-0.059212845267606874,0.0
AAM,,,,
AAM.U,,,,
AAM.WS,,,,
AAMAF,0.0,0.0,0.0,0.0
AAMCF,0.011641099517043792,0.09803486393046444,-0.10564621610264081,0.3424903223788087
AAME,0.004146362849396652,0.02857991793233545,-0.05872532183551652,0.06925846554110032
AAMMF,-0.01095453660013751,0.07916830805238875,-0.1625189879337006,0.1343480542006765
AAMTF,0.002261537552942241,0.011657019580632737,-0.0067972127617149805,0.04912104584799954
AANNF,-0.004481990937002525,0.03705058547117706,-0.15082284537763965,0.04546232971981337
AAOI,-0.005956783177346337,0.06841903734868494,-0.1636088572024854,0.08381319210804127
AAON,-9.267101111773424e-05,0.015471369946122806,-0.01960849338989926,0.03813135711328882
AAP,0.004320494636388952,0.013753356100694732,-0.01826610346576882,0.026164545563508203
AAPB,0.00031698317176423246,0.022991526067955435,-0.038954228257997846,0.05566078224227245
AAPD,-0.0005304908726879283,0.013247475213408055,-0.03325443413782235,0.020468555068514756
AAPI,0.0,0.0,0.0,0.0
AAPJ,-0.017709060708811186,0.20526642865951666,-0.4054651808677398,0.40546518086773964
AAPL,0.0006760715455955202,0.012849015341019716,-0.01943343959509632,0.032051502019659395
AAPR,,,,
AAPT,0.0,0.0,0.0,0.0
AAPU,0.0007276344843073824,0.0192437045508389,-0.030794832885322174,0.046880597098124956
AAPX,0.001463002181805735,0.02682097164085742,-0.03958091778126773,0.060379710027142056
AAPY,0.0002379556677354357,0.011686352060292546,-0.01757981176731453,0.02831131295763612
AAQL,0.01273218702995785,0.1643908660202737,-0.3587617891986252,0.6006733427678244
AARTY,0.002699647942028049,0.03640893502322645,-0.08085208140051901,0.13214539229905195
AASCF,,,,
AASLF,,,,
AASP,-0.046700168816994056,0.15738649676861893,-0.653926504086446,0.10536054214877982
AASZF,-0.005469481567923995,0.08101982523873368,-0.18454132463379774,0.14307950493810545
AAT,0.0006838309028021825,0.01805467680767428,-0.030090778852251202,0.03135602745791667
AATC,0.013722431248314789,0.025324762156978504,-0.03987665931961063,0.06135408841975081
AATGF,-0.0026474065981808657,0.1425294635488375,-0.33647228096990783,0.3364722809699079
AATRL,0.0001078499899436126,0.01135164204112223,-0.030459207484708574,0.025317807984289786
AATV,0.0,0.0,0.0,0.0
AAUAF,-4.382459307730881e-18,0.02470267103032617,-0.07410801309097856,0.07410801309097848
